Product_name,Brand,Rating,No_Rating,key_benefits_list
Bakson's Kali Phosphoricum Biochemic Tablet 6X,Bakson's Homeopathy,4.4,26 Ratings,"['It is helpful in bronchitis, asthma, whooping cough, laryngismus stridulous, influenza, pneumonia and even in phthisis', 'Justicia aids in managing the constant flow of mucus discharge', 'The remedy helps in assisting with loss of smell and taste', 'It assists in the painful larynx, congested and attended with hoarseness', 'Regular consumption aids in managing neurasthenic-related concerns in general weakness and sleeplessness', 'Read the label carefully before use', 'Store in a cool and dry place, away from sunlight', 'Keep out of reach of children']"
Dr Batra's Homeo+ Immunity Medicine Oral Drops (30ml Each),Dr Batra Positive Health Products Limited,4.4,26 Ratings,"['Echinacea', 'Aconitum Nappelus', 'Sambucus Nigra', 'Baptisia Tinctoria', 'Thuja', 'Echinacea helps to increase white blood cells, which help in fighting infections and builds the immune system', 'Help fight bacterial and viral infections', 'Aconitum Nappelus helps those who become ill after a cold and cough', 'Helps to improve immunity and acts as an anti-septic', 'Thuja acts on the lymphatic\xa0 system and swollen glands', 'It is safe, scientific and long-lasting', 'Read the label carefully before use', 'Keep out of reach of the children', 'Store in a cool dry place']"
SBL Aconitum Napellus Dilution 30 CH,SBL Pvt Ltd,4.6,511 Ratings,"['Extract of the plant monkshood', 'Ethanol', 'Remedy for anxiety, fear, anguish of body and mind', 'Helps in reliving heaviness and burning headache', 'Useful in vertigo', 'Reduces inflammation and irritation in the eyes', 'Useful in digestive disorders such as heaviness and vomiting', 'Helps in treating inflammatory fever', 'Reduces bleeding of the nose', 'Provides relief from neuralgic pain in the face', 'Treats inflammation and congestion of the throat accompanied with burning pain', 'Helps in relieving severe cough with chest congestion', 'Useful in case of painful, scanty urination with burning sensation in bladder and urethra', 'Useful in curing epilepsy and hepatitis', 'Helpful in acute orchitis and dyspnea', 'Helps in the treatment of jaundice and pneumonia', 'Read the label carefully before use', 'Use under medical supervision', 'Do not exceed the recommended dosage', 'Keep out of the reach of children', 'Store in a cool and dry place']"
SBL Rhus Toxicodendron Dilution 30 CH,SBL Pvt Ltd,4.7,827 Ratings,"['Rhus Toxicodendron', 'Provides effective treatment for eczema and relieves conditions of itchiness and rashes', 'Helpful in the treatment of conditions associated with herpes', 'Highly effective in the treatment of pain associated with arthritis and rheumatism', 'Helps in relieving symptoms associated with flu and viral infections', 'Helpful in the treatment of sore, dry throat and excessive cough', 'Provides help in the treatment of prolonged menses with heavy discharge accompanied by abdominal pain', 'It is used to correct psychological issues such as depression and anxiety', 'Read the label carefully before use', 'Do not exceed the recommended dose', 'Keep out of the reach of children', 'Use under medical supervision', 'Store in a cool dry place away from direct sunlight and heat']"
SBL Belladonna Dilution 200 CH,SBL Pvt Ltd,4.7,875 Ratings,"['Effective in the treatment of intestinal spasms', 'Provides relief from issues in the bladder and biliary tract', 'Highly useful for patients suffering from rheumatic and arthritic pains', 'It relieves sharp pain in the stomach caused due to excess digestive acid in the stomach', 'Highly useful in regulating actions of the nervous system such as sweating and drooling', 'It is also used to correct digestive and urinary digestive disorders', 'Read the label carefully before use', 'Do not exceed the recommended dose', 'Keep out of the reach of children', 'Store in a cool dry place away from direct sunlight and heat']"
Dynamic Homeopathy Dynamic 25 Dycough Dilution,Dynamic Agencies,4.7,875 Ratings,"['Sangunaria Canadensis', 'Ocimum Sanctum', 'Justicia Adhotoda', 'Ipecacuanha', 'Drosera Rotundifolia', 'Eriodictyon glutinosum', 'Castanea Vesca', 'Lobelia Inflata', 'Stramonium', 'Eucalyptus Globulus', 'Asafoetida', 'Belladonna', 'Kali Iodatum', 'Ferrum Phosphoricum', 'Natrum Muriaticum', 'Kali Sulphuricum', 'It is a homoeopathic remedy that helps relieve all types of cough', 'It helps to soothe and prevent bronchitis', 'It helps relieve wet cough and nasal congestion with yellow and irritating phlegm', 'Take 10 drops in the morning and 10 drops in the evening in ½ glass of water half an hour before meals or as advised by your physician', 'Read the product label carefully before use', 'Store in a cool and dry place away from direct sunlight', 'Keep out of reach of children', 'Consult a doctor before taking any supplement', 'Do not exceed the recommended dosage', 'Pregnant or nursing mothers, children, and people with medical conditions must consult a physician before taking this supplement']"
ADEL 82 Hepat Liver Tonic Drop,Adel Pekana Germany,4.5,64 Ratings,"['Boldo', 'Bryonia', 'Carduus mar', 'Cynara MT', 'Fumaria', 'Hydrastis', 'Taraxacum MT', 'Chelidonium', 'Rejuvenates and tones up the hepatic cells and tissues aiding in the normalisation of the liver function', 'Reduces toxic liver damage and hepatitis due to alcohol abuse', 'Obesity, diabetes, and high level of fats in the blood', 'Cleanses the body by breaking down waste products, enabling detoxification', 'Relieves digestive symptoms such as flatulence, abdominal bloating and cramping', 'The formulation provides complex therapy and aids in combating potential free radical damage', 'Regular consumption helps to clear out harmful toxins generated by an unhealthy diet', 'It helps in managing liver function in sluggish or enlarged livers and supports the prevention of liver damage', 'The formulation helps in providing supportive management for chronic liver-related concerns like cirrhosis', 'Read the label carefully before use', 'Store in a cool and dry place, away from sunlight', 'Keep out of reach of children', ""Don't exceed the recommended dosage"", 'Use under medical supervision', 'Avoid eating tobacco or drinking alcohol during the course']"
Dr Willmar Schwabe India Sabal Serrulata Mother Tincture Q,Dr Willmar Schwabe India Pvt Ltd,4.5,210 Ratings,"['Olein in the berries helps in maintaining weight and strength', 'It helps provide relief from excessive cough, cold and sneezing', 'Regular consumption helps calm the nervous system and helps manage anxiety', 'The formulation helps regulate mood swings and elevate mood', 'It helps manage urinary disorders such as increased frequency of urination and feeling of fullness in the bladder', 'It helps reduce enlargement of the prostate gland', 'Read the label carefully before use', 'Store in a cool and dry place, away from sunlight', 'Keep out of reach of children', ""Don't exceed the recommended dosage"", 'Use under medical supervision', 'Avoid any strong smell in the mouth, such as coffee, onion, hing, mint, camphor, garlic etc., while taking medicine', 'Avoid eating tobacco or drinking alcohol during the course']"
Dr. Reckeweg Nux Vomica Dilution 200 CH,Dr Reckeweg & Co,4.6,701 Ratings,"['It is primarily used to treat mood swings and uncontrollable anger', 'Relieves one of depressive thoughts, helps elevate mood, corrects irritable feelings and sulky mood', 'Soothes severe headaches aggravated by sun exposure or due to a hangover after drinking excessive alcohol', 'Fixes sensitivity issues in the eyes and soothes irritation', 'It is also helpful in curing flu-like symptoms of cough, cold, constant sneezing and related issues', 'Cures ulcers in the mouth accompanied by dryness', 'Reduces tooth sensitivity, especially after consuming cold items', 'Based on homoeopathic composition, it is safe to use and has no side effects', 'Read the label carefully before use', 'Do not exceed the recommended dose', 'Keep out of the reach of children', 'Store in a cool, dry place away from direct sunlight and heat']"
Bjain Omeo Ear Drop,Bjain Pharmaceuticals Pvt Ltd,4.6,701 Ratings,"['Calendula officinalis 0.30ml', 'Verbascum thapsus 0.10ml', 'Mezereum 0.02ml', 'Resorcinum 1X 36.0mg', 'Acidum boracicum 1X 10.0mg', 'It acts as an antiseptic or disinfectant for ears', 'It is beneficial to minimise earache', 'It contains verbascum thapsus, which is beneficial for relieving earache at once', 'It also contains resorcinum that may be used as an antiseptic disinfectant', 'Store in a cool and dry place away from direct sunlight', 'Read the label carefully', 'Keep out of reach of children']"
Haslab Drox 20 Pilovarin Drop,HASLAB,4.6,57 Ratings,"['Aesculus hip 3x', 'Cal Flour 3x', 'Lycopodium 3x', 'Nux Vom 3x', 'Paeonia off 3x', 'Sulphur 3x', 'Vipera 6x', 'Blumia Od 3x', 'Graphites 3x', 'Provides relief from piles, fissure, hemorrhoids', 'Treats itching, pain, prolapsus', 'Also helps in treating varicose veins and varicose ailments like varicose eczema, anal eczema', 'Helps to reduce inflammation of veins', 'Read the label carefully before use', 'Do not exceed the recommended dose', 'Keep out of the reach of children']"
Medisynth Wartex Cream,Medisynth Chemicals Pvt Ltd,4,180 Ratings,"['Antimonium Crudum 1x', 'Calcarea Fluorica 1x', 'Thuja Occidentalis Ext. Q', 'It treat warts and corns', 'Effective for marks or scars', 'Remove exudation of keratin from the cells of epidermis', 'Restores functional integrity of elastic fibers of skin', 'Its therapeutic property is to soften the circular skin bed and helps in elminating it', 'Help in the treatment of benign epithelial tumors, hyperkeratosis', 'Read the label carefully before use', 'Do not exceed the recommended dose', 'Keep out of the reach of children', 'Store in a cool, dry and dark place', 'Protect from direct sunlight']"
Dr. Reckeweg R6 Influenza Drop,Dr Reckeweg & Co,4.7,134 Ratings,"['Baptisia helps in managing typhoid fever, stupor and lethargy, cold, and irritation of the mucous membranes', 'It contains bryonia that assists in catarrhal fever, headaches, piercing pains, and inflammation of the serous tissues', 'Causticum aids in managing sensation of the rawness of mucosa, hollow cough, and weakness of the sphincter of the bladder', 'The eucalyptus in this formulation aids in managing general agitation and accelerated breathing, weariness and rigidity of limbs, headaches and fever', 'Eupatorium perfoliatum helps manage the fever with the sensation of prostration, catarrhal inflammation of the upper air-passages with a tendency to cough and sensation of the rawness of mucosa', 'Ferrum phosphoricum is a remedy for fever and inflammation, low pulse, and rush towards the head', 'Gelsemium helps manage congestive headaches, sleeplessness, shivering and prostration', 'It is best avoided in pregnancy, lactation and children', 'Read the label carefully before use', 'Store in a cool and dry place, away from sunlight', 'Keep out of reach of children', ""Don't exceed the recommended dosage"", 'Use under medical supervision', 'Avoid any strong smell in the mouth, such as coffee, onion, hing, mint, camphor, garlic etc., while taking medicine', 'Avoid eating tobacco or drinking alcohol during the course']"
Dr Batra's Homeo+ Immunity Medicine Oral Drops (30ml Each),Dr Batra Positive Health Products Limited,4.7,134 Ratings,"['Echinacea', 'Aconitum Nappelus', 'Sambucus Nigra', 'Baptisia Tinctoria', 'Thuja', 'Echinacea helps to increase white blood cells, which help in fighting infections and builds the immune system', 'Help fight bacterial and viral infections', 'Aconitum Nappelus helps those who become ill after a cold and cough', 'Helps to improve immunity and acts as an anti-septic', 'Thuja acts on the lymphatic\xa0 system and swollen glands', 'It is safe, scientific and long-lasting', 'Read the label carefully before use', 'Keep out of reach of the children', 'Store in a cool dry place']"
SBL Carduus Marianus Mother Tincture Q,SBL Pvt Ltd,4.5,183 Ratings,"['Primarily used to correct disorders of the liver caused due to alcohol abuse', 'It is useful in establishing a healthy flow of bile and breaks up the formation of gallstone', 'Excellent remedy for the treatment of psychological disorders such as depression', 'Acts as a energy booster and relieves fatigue and exhaustion', 'It is also helpful in relieving headache and relives strain in the eyes', 'Its homeopathic composition makes it safe to use and it doesn’t trigger any side effects', 'Read the label carefully before use', 'Do not exceed the recommended dose', 'Keep out of the reach of children', 'Store in a cool dry place away from direct sunlight and heat']"
Dr. Reckeweg R3 Heart Drop,Dr Reckeweg & Co,4.6,203 Ratings,"['Cactus helps in managing oppression with symptoms of angina pectoris and strong pulse, suffocation', 'The crataegus present in this formulation aids in managing myodegeneration cordis with cardiac weakness, enfeeblement of the heart during infectious diseases, painful spasms, hypotension, the tendency towards decompensation and functional irregularities', 'Kalium carbonicum assists in the weakness of the heart and the cardiovascular system in endo-myocarditis and sharp pain in the heart', 'Kalmia relieves pains extending down the left arm and chronic heart weakness with difficulty breathing', 'Phosphorus aids in managing general nervous exhaustion and hypersensitivity', 'According to the weakness of the heart, 3 times daily 10-20-30 drops in some water, in the beginning even 4-6 times daily', 'In case of a strong tendency towards hydropsy, to be taken undiluted', 'Improvement should follow after several days only', 'If not, the dose should be increased, and reduced again after improvement to 20 drops, 3 times a day', 'Even after the complete disappearance of the complaints 10-15 drops 2-3 times a day should be continued for a longer period of time', 'In the acute weakness of the heart, every 15 to 30 minutes 10-20 drops', 'It is best avoided in pregnancy, lactation and children', 'Read the label carefully before use', 'Store in a cool and dry place, away from sunlight', 'Keep out of reach of children', ""Don't exceed the recommended dosage"", 'Use under medical supervision', 'Avoid any strong smell in the mouth, such as coffee, onion, hing, mint, camphor, garlic etc., while taking medicine', 'Avoid eating tobacco or drinking alcohol during the course']"
Dr. Reckeweg Rhus Tox Dilution 30 CH,Dr Reckeweg & Co,4.6,661 Ratings,"['Provides effective treatment for eczema and relieves conditions of itchiness and rashes', 'Helpful in the treatment of conditions associated with herpes', 'Highly effective in the treatment of pains associated with arthritis and rheumatism', 'Helps in relieving symptoms related to flu and viral infections', 'Helpful in the treatment of sore, dry throat and excessive cough', 'It is also helpful in curing prolonged menses with heavy discharge accompanied by abdominal pain', 'It is also used to correct psychological issues such as depression and anxiety', 'Read the label carefully before use', 'Do not exceed the recommended dose', 'Keep out of the reach of children', 'Use under medical supervision', 'Store in a cool, dry place away from direct sunlight and heat']"
Dynamic Homeopathy Dynamic 48 Dibodyn Dilution,Dynamic Agencies,4.6,661 Ratings,"['Syzygium Jambolanum', 'Acidum Phosphoricum', 'Cephalandra Indica', 'Abroma Augusta', 'Helonias Dioica', 'Gymnema Sylvestre', 'Black plum helps manage the symptoms of diabetes, like thirst, weakness, and excessive urination', 'Acidum Phosphoricum effectively deals with the physical and mental weakness, and exhaustion caused due to loss of vital fluids', 'It helps regulate blood glucose, high cholesterol, body weight, and beta-cells of pancreatic islets of Langerhans', 'It eliminates toxins and relieves kidney ailments as well', 'Abroma helps relieve abdominal cramps and pain in the pelvic region', 'Take 20 drops in the morning and 20 drops in the evening in ½ glass of water half an hour before meals or as advised by your physician', 'Read the product label carefully before use', 'Store in a cool and dry place away from direct sunlight', 'Keep out of reach of children', 'Consult a doctor before taking any supplement', 'Do not exceed the recommended dosage', 'Pregnant or nursing mothers, children, and people with medical conditions must consult a physician before taking this supplement']"
SBL Bio-Combination 19 Tablet,SBL Pvt Ltd,4.6,280 Ratings,"['Ferrum phosphoricum', 'Magnesia phosphorica', 'Kalium sulphuricum', 'Natrum sulphuricum', 'Relieves the pain in joints and muscles without causing any inflammation', 'Cures the stiffness of neck and shoulder pains', 'Stiffness of knees, cracking of joints caused by rheumatism which is worse during damp cold weather', 'Relieves from the heaviness of lower limbs during chill and itching of the skin', 'Jerking of the limbs, numbness of hands and feet and cramps in muscles during cold weather', 'Keep out of the reach of children', 'Use under medical supervision', 'Read the label carefully before use', 'Avoid eating tobacco or drinking alcohol during the course', 'Avoid any strong smell in the mouth such as coffee, onion, hing, mint, camphor, garlic etc while taking the medicine', 'Keep at least half an hour gap between food/drink/ any other medicines and allopathic medicine']"
SBL Tranquil Tablet,SBL Pvt Ltd,4.6,253 Ratings,"['Abrus precatorius', 'Kali phosphoricum', 'Aconitum napellus', 'Calendula officinalis', 'Viburnum opulus', 'Zincum picricum', 'The tablets can help improve mental stability', 'It may aid in managing stress and anxiety', 'It promotes natural sleep with clear awakening', 'It causes no drowsiness and helps to improve the sleep-wake cycle', 'Adult: 2 tablets 4 times daily', 'Children: Half of the adult’s dose or as directed by the physician', 'Read the label carefully before use', 'Do not exceed the recommended dosage', 'Store in a cool and dry place away from direct sunlight', 'Keep out of reach of children']"
SBL Echinacea Angustifolia Mother Tincture Q,SBL Pvt Ltd,4.6,204 Ratings,"['The formula can help reduce foul-smelling discharge', 'It may alleviate receding gums and bleeding', 'It can reduce sores and white coating of the tongue', 'It might aid in minimising sour belching and heartburn', 'It can help reduce feelings of nausea', 'It may assist in alleviating recurring boils', 'It can provide relief from irritations caused by insect bites and poisonous plants', 'Do not exceed the recommended dosage', 'Read the label carefully before use', 'Store in a cool dry place away from direct sunlight', 'Keep out of reach of children', 'Avoid any strong smell in the mouth such as coffee, onion, hing, mint, camphor, garlic etc. while taking the medicine', 'Keep at least half an hour gap between food/drink/ any other medicines and allopathic medicine']"
Bjain Guatteria Gaumeri Drop,Bjain Pharmaceuticals Pvt Ltd,4.6,213 Ratings,"['Guatteria Gaumeri', 'It helps reduce bad cholesterol in the body', 'Reduces lipid and fat content in the blood', 'Beneficial for dealing with anorexia and abdominal distention', '10-15 drops in 1/4th cup of water, three times a day or as directed by a healthcare practitioner', 'To be taken 10 minutes before or after meals', 'Do not exceed the recommended dosage', 'Read the label carefully before use', 'Store in a cool, dry place away from direct sunlight', 'Keep out of reach of children', 'Hyperlipidemia indicates too many lipids or fats in your blood, such as cholesterol and triglycerides', 'Hypercholesterolemia indicates too much non-HDL and LDL (bad) cholesterol in your blood']"
SBL Acidum Phosphoricum Mother Tincture Q,SBL Pvt Ltd,4.5,207 Ratings,"['Treats complications associated with mental as well as emotional trauma', 'Provides relief from headache due to exhaustion and mental weakness', 'Helps improve concentration, focus and memory and improves general mood', 'Improves physical and mental stress and corrects negative thinking patterns', 'It can be used to treat soreness of the eyes that leads to irritated and itchy eyes', 'Helps in relieving distension, nausea and vomiting in stomach', 'Improves digestion and stimulates appetite', 'Acts as a mild sedative and treats insomnia caused due to anxiety', 'Corrects sexual disorders in men and increases libido', 'Prevents premature greying of hair', 'Read the label carefully before use', 'Do not exceed the recommended dosage', 'Keep out of the reach of children', 'Store in a cool dry place away from direct sunlight and heat']"
Lord's Ylo Tablet,Lord's Homoeopathic Laboratory Pvt Ltd,4.6,78 Ratings,[]
Dr. Reckeweg Thuja Occ Dilution 200 CH,Dr Reckeweg & Co,4.5,394 Ratings,"['Thuja Occidentalis', 'It is primarily used for the treatment of rheumatic and arthritic pains', 'Highly useful in treating issues related to sunstroke and swelling on the skin accompanied by painful eruptions', 'It is also useful in treating side effects of vaccination on the skin of children', 'It is an effective remedy in the treatment of painful headache', 'It uses also includes treatment of stomach issues that causes indigestion and loss of appetite', 'Provides effective relief from constipation', 'It also corrects urinary disorders such as excessive urge to urinate and painful urination', 'Read the label carefully before use', 'Do not exceed the recommended dose', 'Keep out of the reach of children', 'Use under medical supervision', 'Store in a cool dry place away from direct sunlight and heat']"
Dr Batra's Homeo+ Immunity Medicine Oral Drops (30ml Each),Dr Batra Positive Health Products Limited,4.5,394 Ratings,"['Echinacea', 'Aconitum Nappelus', 'Sambucus Nigra', 'Baptisia Tinctoria', 'Thuja', 'Echinacea helps to increase white blood cells, which help in fighting infections and builds the immune system', 'Help fight bacterial and viral infections', 'Aconitum Nappelus helps those who become ill after a cold and cough', 'Helps to improve immunity and acts as an anti-septic', 'Thuja acts on the lymphatic\xa0 system and swollen glands', 'It is safe, scientific and long-lasting', 'Read the label carefully before use', 'Keep out of reach of the children', 'Store in a cool dry place']"
SBL Urtica Urens Mother Tincture Q,SBL Pvt Ltd,4.5,339 Ratings,"['Urtica Urens', 'It is used for the treatment of skin disorders such as burns and insect bites', 'Used as a relief measure for pains associated with rheumatism and arthritis', 'It promotes the production of milk in the breasts', 'Highly effective in treating first degree burns', 'It provides relief from symptoms of vertigo', 'Read the label carefully before use', 'Do not exceed the recommended dose', 'Keep out of the reach of children', 'Use under medical supervision', 'Store in a cool dry place away from direct sunlight and heat']"
SBL Mullein Ear Drop,SBL Pvt Ltd,4.5,347 Ratings,[]
Dr Willmar Schwabe India Hydrastis Canadensis Mother Tincture Q,Dr Willmar Schwabe India Pvt Ltd,4.6,111 Ratings,"['Hydrastis canadensis', 'Indicated for the management of tenacious discharge from the nose, eyes and ear', 'Beneficial in dealing with catarrhal symptoms that cause itching', 'It helps manage fissures around the mouth with white coated tongue', 'It can help deal with skin and eye ailments', 'Take as directed by the physician', 'Read the label carefully before use', 'Do not exceed the recommended dose', 'Keep out of the reach of children', 'Store at a cool and dry place, away from direct sunlight']"
Dynamic Homeopathy Dynamic 28 K'DY Stone Dilution,Dynamic Agencies,4.6,111 Ratings,"['Berberis Vulgaris', 'Hydrangea Arborescens', 'It provides relief from renal stones', 'It helps to remove and prevent the recurring formation of kidney stones', 'Take 20 drops in the morning and 20 drops in the evening in ½ glass of water half an hour before meals or as advised by your physician', 'Read the product label carefully before use', 'Store in a cool and dry place away from direct sunlight', 'Keep out of reach of children', 'Consult a doctor before taking any supplement', 'Do not exceed the recommended dosage', 'Pregnant or nursing mothers, children, and people with medical conditions must consult a physician before taking this supplement']"
Dr Willmar Schwabe India Arnica Montana Mother Tincture Q,Dr Willmar Schwabe India Pvt Ltd,4.6,259 Ratings,"['Mother Tincture Q is extremely helpful in treating genito-urinary organ infection', 'Olein in the berries helps in increasing weight and strength', 'Provides relief from excessive cough, cold and sneezing and is a potent organ remedy', 'Calms the nervous system and reduces anxiety', 'Corrects mood swings and elevates mood', 'Treats urinary disorders such as increased frequency of urination and feeling of fullness in the bladder', 'It reduces enlargement of the prostate gland and loosens the sensation of tightening in the testicles', 'Read the label carefully before use', 'Do not exceed the recommended dosage', 'Store in a cool and dry place away from direct sunlight']"
Bakson's Natrum Sulphuricum Biochemic Tablet 6X,Bakson's Homeopathy,4.6,30 Ratings,"['Natrum sulphuricum', 'It can help to prevent fatty liver and improves digestion', 'It can help to protect against hepatic toxicity caused due to antibiotics or alcohol', 'It also helps to improve your liver function and prevents hepatocyte damage', 'It can help to reduce headaches', 'It can help to detox the liver and increase metabolism', 'It can also help to manage diarrhoea and symptoms of gout', 'Store it in a cool and dry place', 'Keep it away from direct sunlight', 'Keep it away from the reach of the children']"
Dr. Reckeweg V-C 15 Forte Tonic,Dr Reckeweg & Co,4.5,97 Ratings,"['Acid phosphor, Citrus medica Iimonum, Cocculus, Ginseng, Helonias, Sepia', 'Helps relieve mental and physical weakness, drowsiness, and faintness', 'Improves blood circulation, increases energy and promotes recovery', 'Useful for irritability, moodiness, indifference and discouragement', 'It can help with the restlessness of the legs, irritability of the nervous system, inability to concentrate and burning and pricking along the spinal cord', 'Do not exceed the recommended dosage', 'Read the label carefully before use', 'Store in a cool, dry place away from direct sunlight', 'Keep out of reach of children']"
Bjain Avena Sativa Mother Tincture Q,Bjain Pharmaceuticals Pvt Ltd,4.4,52 Ratings,"['Avena Sativa', 'Has a soothing and calming effect on the nervous system', 'Effective remedy for anxiety and stress', 'It is useful in curing ill effects of alcoholism such as sleeplessness and tremor', 'It helps treat nervous exhaustion, insomnia, and weakness of the nerves', 'Also has aphrodisiac properties and helps in the treatment of sexual debility', 'A dietary nutritional supplement not for medicinal use', 'Read the label carefully before use', 'Do not exceed the recommended dose', 'Keep out of the reach of children', 'Store at a cool and dry place', 'Should be protected from direct sunlight']"
ADEL 64 Mundipur Uric Acid Drop,Adel Pekana Germany,4.4,97 Ratings,"['Berberis Vulgaris', 'Bryonia', 'Colchium', 'Phytolacca Americana', 'Works as a supportive remedy for symptoms related to excessive accumulation of urea and creatinine in the blood', 'Promotes overall well-being', 'Read the label carefully before use', 'Store in a cool dry place away from direct sunlight', 'Keep out of reach of the children']"
Dr. Reckeweg R23 Eczema Drop,Dr Reckeweg & Co,4.5,156 Ratings,"['Apis mellifica', 'Arsen. Alb.', 'Rhus Tox.', 'The drops can help relieve symptoms associated with eczema, like dryness of the skin and itchiness', 'It may aid in managing pimples and excess acne breakouts', 'It is helpful in clearing the complexion and reducing scars', 'Read the label carefully before use', 'Do not exceed the recommended dosage', 'Store in a cool and dry place away from direct sunlight', 'Keep out of reach of children']"
Dr. Reckeweg Vita-C 15 Nerve Tonic,Dr Reckeweg & Co,4.4,129 Ratings,"['It reduces mental and physical weakness, drowsiness and sexual dysfunction', 'It manages exhaustion, physical weakness, irritability, insomnia, depression etc.', 'It helps manage mood swings, irritability and symptoms of menopause in women', 'It increases zinc absorption in the body', 'It helps reduce fatigue, irritability, unclear thinking and inability to concentrate', 'In the beginning, take one tablespoon thrice daily', 'When improvement sets in, take the same dose daily, only in the evening', 'Do not exceed the recommended dosage', 'Read the label carefully before use', 'Store in a cool, dry place away from direct sunlight', 'Keep out of reach of children', 'Avoid any strong smell in the mouth, such as coffee, onion, hing, mint, camphor, garlic etc., while taking medicine', 'Keep at least half an hour gap between food/drink/ any other medicines and allopathic medicine']"
Dr Batra's Homeo+ Immunity Medicine Oral Drops (30ml Each),Dr Batra Positive Health Products Limited,4.4,129 Ratings,"['Echinacea', 'Aconitum Nappelus', 'Sambucus Nigra', 'Baptisia Tinctoria', 'Thuja', 'Echinacea helps to increase white blood cells, which help in fighting infections and builds the immune system', 'Help fight bacterial and viral infections', 'Aconitum Nappelus helps those who become ill after a cold and cough', 'Helps to improve immunity and acts as an anti-septic', 'Thuja acts on the lymphatic\xa0 system and swollen glands', 'It is safe, scientific and long-lasting', 'Read the label carefully before use', 'Keep out of reach of the children', 'Store in a cool dry place']"
SBL Pulsatilla Nigricans Dilution 200 CH,SBL Pvt Ltd,4.6,506 Ratings,"['Helpful in treating dry cough with a painful throat', 'Treats chronic otitis media (pain in ears)', 'Helpful in treating joint pains and sciatica pain', 'Effective in treating varicose veins problem', 'Effective in treating mumps', 'Recommended for easing\xa0the symptoms of chickenpox', 'Provides relief from headache', 'Treats food poisoning and provides relief from symptoms caused by indigestion', 'Read the label carefully', 'Self-medication is not advised', 'Do not exceed the recommended dose', 'Keep out of the reach of children', 'Avoid strong smell in the mouth before taking this medicine']"
SBL Justicia Adhatoda Mother Tincture Q,SBL Pvt Ltd,4.7,242 Ratings,"['Justicia Adhatoda', 'It is an effective remedy for the treatment of respiratory disorders such as excessive cough and dyspnoea', 'It reduces cough and relieves congestion in the chest. It is extremely helpful in reducing mucus which generally leads to excessive coughing', 'Relives the headache associated with cough and coryza', 'It is extremely for patients suffering from excessive sneezing associated with coryza and difficult breathing', 'Relieves pain and dryness in the throat', 'Read the label carefully before use', 'Do not exceed the recommended dose', 'Keep out of the reach of children', 'Use under medical supervision', 'Store in a cool dry place away from direct sunlight and heat']"
ADEL 18 Glucorect Drop,Adel Pekana Germany,4.3,139 Ratings,"['Acidum Lacticum', 'Acidum Sulfuricum', 'Allium Cepa', 'Chionanthus Virginica', 'Phosphorus', 'Zincum Sulfuricum', 'Stigmata Maydis', 'Syzygium Cumini', 'Regular consumption helps in reducing raised blood sugar levels', 'It is primarily used to regulate and monitor high blood sugar levels', 'The formulation helps with symptoms associated with high blood sugar levels such as the excessive urge to urinate and increased appetite and thirst', 'Reduces weakness and fatigue associated with the increased blood sugar level', 'Read the label carefully before use', 'Store in a cool and dry place, away from sunlight', 'Keep out of reach of children', 'Don’t exceed the recommended dosage', 'Use under medical supervision', 'Avoid any strong smell in the mouth, such as coffee, onion, hing, mint, camphor, garlic etc., while taking medicine', 'Avoid eating tobacco or drinking alcohol during the course']"
Dynamic Homeopathy Dynamic 24 BPDYN Dilution,Dynamic Agencies,4.3,139 Ratings,"['Rauvolfia Serpentina', 'Glonoinum', 'Passiflora Incarnata', 'Terminalia Arjuna', 'Cactus Grandiflorus', 'Crategus Oxyacantha', 'Glonoinum helps surge blood to the head and the heart', 'It helps you in relieving anxiety and stress', 'Arjuna helps treat conditions where the blood supply to the heart is inaccurate', 'It acts on the muscular fibres of the heart and manages congestive headaches, constriction in the chest, acute stabbing pains in the heart and weak heart', 'It is highly effective for the treatment or prevention of cardiovascular conditions', 'Take 20 drops in the morning and 20 drops in the evening in ½ glass of water half an hour before meals or as directed by your physician', 'Read the product label carefully before use', 'Store in a cool and dry place away from direct sunlight', 'Keep out of reach of children', 'Consult a doctor before taking any supplement', 'Do not exceed the recommended dosage', 'Pregnant or nursing mothers, children, and people with medical conditions must consult a physician before taking this supplement']"
SBL Nixocid Syrup,SBL Pvt Ltd,4.5,221 Ratings,"['Nixocid Syrup regulates bile production and helps restore enzyme balance', 'Nixocid Syrup helps relieve acidity, heartburn, dyspepsia, gas, distension and flatulence', 'It acts as a laxative that increases water in the intestine and reduces stomach acid', 'Adults: Take one to two teaspoonfuls of  Nixocid Syrup 3-4 times a day', ""Children: Half of the adult's dose or as directed by the physician"", 'Read the label carefully before use', 'Do not exceed the recommended dosage', 'Store in a cool and dry place', 'Keep away from the reach of children']"
